user_text,user_text_clean,label,intent,answer_mundart,needs_review,is_seed
"hoi, ich ha kei bock meh",hoi ich ha kei bock meh,negativ,frust,"Ich verstand, dass dich das nervt. Was isch im Momänt am müehsamste für dich?",True,False
"ich ha ghört, dass sich bi dere regel öppis gänderet het",ich ha ghoert dass sich bi dere regel oeppis gaenderet het,neutral,news_teilen,"Danke fürs teile. Spannend, was grad alles lauft.",True,False
ich ha lang sorgä gha und jetzt isch s doch guet cho,ich ha lang sorgae gha und jetzt isch s doch guet cho,positiv,erleichterung,"Guet z ghöre, dass s sich jetzt leichter aafühlt. Was hät dir am meiste gholfe?",True,False
wie funktionieret das genau?,wie funktionieret das genau,neutral,frage_info,Gueti frog. Ich versuech s dir möglichst eifach z erläuterä.,True,True
i bi am abig eifach komplett dure mach s guet,i bi am abig eifach komplett dure mach s guet,negativ,stress_alltag,"Alltag cha schnell z vil wärde. Womit fangemer am beschte aa, zum s chli z ordne?",True,False
ich bruch dringends en rat,ich bruch dringends en rat,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,False
ich verliere grad dr überblick richtig müehsam,ich verliere grad dr ueberblick richtig mueehsam,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,False
wie isch dini wuche bis jetzt gsi?,wie isch dini wuche bis jetzt gsi,neutral,smalltalk,"Mir gohts guet, merci. Und dir so im alltag?",True,False
ich ha ständig müedigkeit und kenn de grund nöd,ich ha staendig mueedigkeit und kenn de grund ned,negativ,gesundheit_sorge,Gsundheitssorgä nimmt mer sich zu herz. Was macht dir im momänt am meiste sorge?,True,True
ich chum nöd drus mit däm update so im fall,ich chum ned drus mit daem update so im fall,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
i bi am abig eifach komplett dure,i bi am abig eifach komplett dure,negativ,stress_alltag,"Alltag cha schnell z vil wärde. Womit fangemer am beschte aa, zum s chli z ordne?",True,False
ich chan mit beidem lebe,ich chan mit beidem lebe,neutral,sonstiges,"Alles klar, merci für dini rückmeldung.",True,False
"ich ha s gfühl, mer verstönd sich immer besser",ich ha s gfuehl mer verstoend sich immer besser,positiv,verbindung_freunde,"Schön, dass du so mensche um dich hesch. Solchi momänt tue mega guet.",True,False
ich freu mi mega uf d feriä,ich freu mi mega uf d feriae,positiv,vorfreude,Vorfreud isch öppis Schöns. Uf was freusch di am meiste?,True,False
ich zweifle grad voll a mir selber zum d wand ufe laufä,ich zweifle grad voll a mir selber zum d wand ufe laufae,negativ,selbstzweifel,"Es isch okay, wenn mer sich mal unsicher fühlt. Worin hesch du grad am meiste zweifel?",True,False
"es chunnt immer meh ufträgi debi, aber kei ressourcen so en scheiss",es chunnt immer meh uftraegi debi aber kei ressourcen so en scheiss,negativ,überforderung_job,Jobstress cha würklich belaste. Was belastet di im momänt am stärkschte?,True,False
d abmachige werdet nie ihalte,d abmachige werdet nie ihalte,negativ,beschwerde,"Das tönt würklich müehsam. Erzähl gern no chli meh, was genau di stört.",True,False
"ich bi e schritt wiiter cho, als ich denkt ha voll cool",ich bi e schritt wiiter cho als ich denkt ha voll cool,positiv,erfolg,"Gratuliere, das isch en schöne erfolg. Nimm dir ruhig en moment, zum stolz z sii.",True,False
ich chan au chli ruhe gniesse zwüschet dur,ich chan au chli ruhe gniesse zwueschet dur,positiv,zufriedenheit_alltag,"Schön, dass sich dis läbe im momänt stimmig aafühlt. Was wotsch gern so biibe lah?",True,False
"hey, ich bi grad überforderet, chasch mir helfe?",hey ich bi grad ueberforderet chasch mir helfe,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,False
mir rede ane vorbei und nüt chunt a gruessli,mir rede ane vorbei und nuet chunnt a gruessli,negativ,konflikt,Konflikt sind nöd eifach. Was isch dir da besonders wichtig i dä situation?,True,False
"ey, kurz es update: es lauft imfall solid, aber langsam",ey kurz es update es lauft im fall solid aber langsam,neutral,status_update,"Merci fürs update. Wenn sich öppis ändert, chasch eifach wieder schriebe.",True,False
"ich bechum ständig fehlermeldig und check nöd, was s heisst mach s guet",ich bechum staendig fehlermeldig und check noed was s heisst mach s guet,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
ich zweifle grad voll a mir selber,ich zweifle grad voll a mir selber,negativ,selbstzweifel,"Es isch okay, wenn mer sich mal unsicher fühlt. Worin hesch du grad am meiste zweifel?",True,False
"ich weiss nöd, wie lang das no so cha wiiter gah",ich weiss noed wie lang das no so chan wiiter gah,negativ,gesundheit_sorge,Gsundheitssorgä nimmt mer sich zu herz. Was macht dir im momänt am meiste sorge?,True,False
"ich weiss nöd, ob sich das no flicke laht",ich weiss noed ob sich das no flicke laht,negativ,konflikt,Konflikt sind nöd eifach. Was isch dir da besonders wichtig i dä situation?,True,True
ich fühl mi imfall recht einsam im momänt,ich fuehl mi im fall recht einsam im momaent,negativ,einsamkeit,"Sich einsam fühle isch nöd eifach. Schön, dass du drüber redsch. Wie fült sich das grad a für dich?",True,False
"ich weiss nöd, wie lang ich das no cha so en käse",ich weiss noed wie lang ich das no chan so en kaese,negativ,frust,"Ich verstand, dass dich das nervt. Was isch im Momänt am müehsamste für dich?",True,False
"das isch alles andere als selbstverständlich, danke eifach nur schön",das isch alles andere als selbstverstaendlich danke eifach nur schoen,positiv,dank,"Sehr gärn. Freut mi, wenn es dir öppis bringt.",True,False
"ey, ich ha scho lang kei richtige pause meh gha",ey ich ha scho lang kei richtige pause meh gha,negativ,stress_alltag,"Alltag cha schnell z vil wärde. Womit fangemer am beschte aa, zum s chli z ordne?",True,False
im schaffe isch s grad viel z vil gopfriedstutz bis bald,im schaffe isch s grad viel z vil gopfriedstutz bis bald,negativ,überforderung_job,Jobstress cha würklich belaste. Was belastet di im momänt am stärkschte?,True,False
"i bi nöd sicher, öb mer no am gliiche ort sind",i bi ned sicher oeb mer no am gliiche ort sind,negativ,enttäuschung_beziehung,"Enttäuschige tue weh. Wenn du wotsch, chasch chli erläutere, was passiert isch.",True,False
ich bin im job grad nur am hinterher renne,ich bi im job grad nur am hinterher renne,negativ,überforderung_job,Jobstress cha würklich belaste. Was belastet di im momänt am stärkschte?,True,True
"hoi, ich bi voll beeindruckt vo dim resultat",hoi ich bi voll beeindruckt vo dim resultat,positiv,lob,"Schön z ghöre, dass das so guet cho isch. Mach eifach so wiiter.",True,False
"sali, ich weiss nöd, mit wem ich cha richtig drüber rede so en scheiss mach s guet",sali ich weiss noed mit wem ich chan richtig drueber rede so en scheiss mach s guet,negativ,einsamkeit,"Sich einsam fühle isch nöd eifach. Schön, dass du drüber redsch. Wie fült sich das grad a für dich?",True,False
ich ha kei bock meh,ich ha kei bock meh,negativ,frust,"Ich verstand, dass dich das nervt. Was isch im Momänt am müehsamste für dich?",True,False
"ich bi froh, dass nöd jede tag drama isch",ich bi froh dass ned jede tag drama isch,positiv,zufriedenheit_alltag,"Schön, dass sich dis läbe im momänt stimmig aafühlt. Was wotsch gern so biibe lah?",True,False
"im moment isch s chli viel, aber im rahme so im fall liebi grüess",im moment isch s chli viel aber im rahme so im fall liebi grueess,neutral,status_update,"Merci fürs update. Wenn sich öppis ändert, chasch eifach wieder schriebe.",True,False
"ich hab e richtig guets gfühl für das, was chunt",ich hab e richtig guets gfuehl fuer das was chunnt,positiv,vorfreude,Vorfreud isch öppis Schöns. Uf was freusch di am meiste?,True,True
es isch alles so schlecht organisiert,es isch alles so schlecht organisiert,negativ,beschwerde,"Das tönt würklich müehsam. Erzähl gern no chli meh, was genau di stört.",True,False
"es isch schön z gseh, wie wiit ich cho bi liebi grüess",es isch schoen z gseh wie wiit ich cho bi liebi grueess,positiv,stolz,Du darfsch stolz sii uf dich. Was gfallt dir selber am beschte a dim weg bis da?,True,False
ich ha e gueti balans zwüsche pause und leistung gfunde,ich ha e gueti balans zwuesche pause und leistung gfunde,positiv,zufriedenheit_alltag,"Schön, dass sich dis läbe im momänt stimmig aafühlt. Was wotsch gern so biibe lah?",True,False
"ich ha gseh, dass d termi sich chli gschobe händ",ich ha gseh dass d termi sich chli gschobe haend,neutral,news_teilen,"Danke fürs teile. Spannend, was grad alles lauft.",True,True
merci fürs dini unterstützig,merci fuers dini unterstuetzig,positiv,dank,"Sehr gärn. Freut mi, wenn es dir öppis bringt.",True,False
wie lang gaht das ungefäär?,wie lang gaht das ungefaeaer,neutral,frage_info,Gueti frog. Ich versuech s dir möglichst eifach z erläuterä.,True,False
ich zweifle grad voll a mir selber,ich zweifle grad voll a mir selber,negativ,selbstzweifel,"Es isch okay, wenn mer sich mal unsicher fühlt. Worin hesch du grad am meiste zweifel?",True,False
"ich weiss nöd, was s nächschti isch, hesch en tipp? gopfertami tschüss",ich weiss noed was s naechschti isch hesch en tipp gopfertami tschuess,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,False
mini aufgabe sind imfall nüm machbar i dere zit,mini aufgabe sind im fall nuem machbar i dere zit,negativ,überforderung_job,Jobstress cha würklich belaste. Was belastet di im momänt am stärkschte?,True,False
"ich ha mini prüefig bstange, bin voll erleichtert",ich ha mini prueefig bstange bi voll erleichtert,positiv,erfolg,"Gratuliere, das isch en schöne erfolg. Nimm dir ruhig en moment, zum stolz z sii.",True,False
ich ha es komplizierte thema endlich checkt,ich ha es komplizierte thema endlich checkt,positiv,erfolg,"Gratuliere, das isch en schöne erfolg. Nimm dir ruhig en moment, zum stolz z sii.",True,False
"ich ha langsam kei idee meh, was ich no cha probiere",ich ha langsam kei idee meh was ich no chan probiere,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,True
"kurz es update: es lauft imfall solid, aber langsam",kurz es update es lauft im fall solid aber langsam,neutral,status_update,"Merci fürs update. Wenn sich öppis ändert, chasch eifach wieder schriebe.",True,True
"hoi, ich chan au chli ruhe gniesse zwüschet dur",hoi ich chan au chli ruhe gniesse zwueschet dur,positiv,zufriedenheit_alltag,"Schön, dass sich dis läbe im momänt stimmig aafühlt. Was wotsch gern so biibe lah?",True,False
ich han riesig spass an dim output mach s guet,ich han riesig spass an dim output mach s guet,positiv,lob,"Schön z ghöre, dass das so guet cho isch. Mach eifach so wiiter.",True,False
"es chunnt immer meh ufträgi debi, aber kei ressourcen",es chunnt immer meh uftraegi debi aber kei ressourcen,negativ,überforderung_job,Jobstress cha würklich belaste. Was belastet di im momänt am stärkschte?,True,True
ich ha langsam kei nerv meh für dä scheiss gruessli,ich ha langsam kei nerv meh fuer dae scheiss gruessli,negativ,beschwerde,"Das tönt würklich müehsam. Erzähl gern no chli meh, was genau di stört.",True,False
"hey, das het mir dä tag verschönert voll cool schönä tag no",hey das het mir dae tag verschoenert voll cool schoenae tag no,positiv,freud,"Mega schön, dass dich das so freut. Erzähl gern no meh drüber, wenn du wotsch.",True,False
ich ha hart drfür gschaffet und jetzt zahlts sich us,ich ha hart drfuer gschaffet und jetzt zahlts sich us,positiv,stolz,Du darfsch stolz sii uf dich. Was gfallt dir selber am beschte a dim weg bis da?,True,False
"ich chan s fast nöd glaube, wie tiptop das cho isch",ich chan s fast ned glaube wie tiptop das cho isch,positiv,freud,"Mega schön, dass dich das so freut. Erzähl gern no meh drüber, wenn du wotsch.",True,False
"hoi, was machsch grad so?",hoi was machsch grad so,neutral,smalltalk,"Mir gohts guet, merci. Und dir so im alltag?",True,False
"im moment isch s chli viel, aber im rahme",im moment isch s chli viel aber im rahme,neutral,status_update,"Merci fürs update. Wenn sich öppis ändert, chasch eifach wieder schriebe.",True,True
ich ha neu mit fotografie aagfange,ich ha neu mit fotografie aagfange,neutral,hobby_talk,"Klingt spannend. Erzähl gern no meh über dini hobbys, wenn du lusch hesch.",True,True
"na, alles klar bi dir?",na alles klar bi dir,neutral,smalltalk,"Mir gohts guet, merci. Und dir so im alltag?",True,False
"ich schätz es mega, so mensche um mich z ha",ich schaetz es mega so mensche um mich z ha,positiv,verbindung_freunde,"Schön, dass du so mensche um dich hesch. Solchi momänt tue mega guet.",True,False
"hoi, ich weiss nöd, wie lang das no so cha wiiter gah schönä tag no",hoi ich weiss noed wie lang das no so chan wiiter gah schoenae tag no,negativ,gesundheit_sorge,Gsundheitssorgä nimmt mer sich zu herz. Was macht dir im momänt am meiste sorge?,True,False
"ich weiss nöd, wie ich aafange söll",ich weiss noed wie ich aafange soell,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,False
ich ha grad richtig freud,ich ha grad richtig freud,positiv,freud,"Mega schön, dass dich das so freut. Erzähl gern no meh drüber, wenn du wotsch.",True,True
"vo mir us es nüchternes, aber positives feedback denke ich",vo mir us es nuechternes aber positives feedback denke ich,neutral,feedback_sachlich,"Danke fürs sachlich feedback. Das hilft, s besser iigschätze z chönne.",True,False
"alli händ irgendwie ihre gruppe, nur ich nöd",alli haend irgendwie ihre gruppe nur ich ned,negativ,einsamkeit,"Sich einsam fühle isch nöd eifach. Schön, dass du drüber redsch. Wie fült sich das grad a für dich?",True,False
"hoi, ich zähl fasch d tägli bis dr tag chunnt eifach stark",hoi ich zaehl fasch d taegli bis dr tag chunnt eifach stark,positiv,vorfreude,Vorfreud isch öppis Schöns. Uf was freusch di am meiste?,True,False
du chasch würkli stolz sii uf dich lg,du chasch wuerkli stolz sii uf dich lg,positiv,lob,"Schön z ghöre, dass das so guet cho isch. Mach eifach so wiiter.",True,False
"sali, mir chönd s spontan entscheide",sali mir choend s spontan entscheide,neutral,sonstiges,"Alles klar, merci für dini rückmeldung.",True,False
"ich hab e richtig guets gfühl für das, was chunt gruessli",ich hab e richtig guets gfuehl fuer das was chunnt gruessli,positiv,vorfreude,Vorfreud isch öppis Schöns. Uf was freusch di am meiste?,True,False
"ich vermisse s gfühl, würklich ufgnoh z sii",ich vermisse s gfuehl wuerklich ufgnoh z sii,negativ,einsamkeit,"Sich einsam fühle isch nöd eifach. Schön, dass du drüber redsch. Wie fült sich das grad a für dich?",True,False
"i ha s gfuehl, mir verstöhnd üs immer weniger",i ha s gfuehl mir verstoehnd ues immer weniger,negativ,konflikt,Konflikt sind nöd eifach. Was isch dir da besonders wichtig i dä situation?,True,True
"ich frag mi, öb ich überhaupt uffem richtige wäg bi",ich frag mi oeb ich ueberhaupt uffem richtige waeg bi,negativ,selbstzweifel,"Es isch okay, wenn mer sich mal unsicher fühlt. Worin hesch du grad am meiste zweifel?",True,True
"ich find s grundsätzlich guet, aber es het no paar punkt zum verbessere mached mer so imfall",ich find s grundsaetzlich guet aber es het no paar punkt zum verbessere mached mer so im fall,neutral,feedback_sachlich,"Danke fürs sachlich feedback. Das hilft, s besser iigschätze z chönne.",True,False
ich bruch dringends en rat,ich bruch dringends en rat,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,True
"hallo du, ich ha so vil ideä im chopf, wo ich umsetze wott vo härze her guet",hallo du ich ha so vil ideae im chopf wo ich umsetze wott vo haerze her guet,positiv,motivation,Das tönt nach vill energie. Wie wotsch die motivation für dich nutze?,True,False
"ey, ich ha s gfuehl, ich bi nöd priorität für sie",ey ich ha s gfuehl ich bi ned prioritaet fuer sie,negativ,enttäuschung_beziehung,"Enttäuschige tue weh. Wenn du wotsch, chasch chli erläutere, was passiert isch.",True,False
"hallo du, was isch dä unterschied zwüsche däne zwei variante?",hallo du was isch dae unterschied zwuesche daene zwei variante,neutral,frage_info,Gueti frog. Ich versuech s dir möglichst eifach z erläuterä.,True,False
"ich bi froh, dass sich das nöd so schlimm entwicklet het richtig lässig",ich bi froh dass sich das ned so schlimm entwicklet het richtig laessig,positiv,erleichterung,"Guet z ghöre, dass s sich jetzt leichter aafühlt. Was hät dir am meiste gholfe?",True,False
mir chönd s au eifach mal offe lah,mir choend s au eifach mal offe lah,neutral,sonstiges,"Alles klar, merci für dini rückmeldung.",True,True
das het mir dä tag verschönert,das het mir dae tag verschoenert,positiv,freud,"Mega schön, dass dich das so freut. Erzähl gern no meh drüber, wenn du wotsch.",True,True
chan ich dir es paar frage stelle dazu?,chan ich dir es paar frage stelle dazu,negativ,hilfe_bitten,"Ich probier gern z helfe. Sag eifach, wo du grad hängsch.",True,False
du hesch en super job gmacht schöns wucheend,du hesch en super job gmacht schoens wucheend,positiv,lob,"Schön z ghöre, dass das so guet cho isch. Mach eifach so wiiter.",True,False
"ich bin dankbar für die nächi, wo mer händ",ich bi dankbar fuer die naechi wo mer haend,positiv,verbindung_freunde,"Schön, dass du so mensche um dich hesch. Solchi momänt tue mega guet.",True,True
du chasch würkli stolz sii uf dich,du chasch wuerkli stolz sii uf dich,positiv,lob,"Schön z ghöre, dass das so guet cho isch. Mach eifach so wiiter.",True,True
"ich ha s gfühl, das wird öppis schöns",ich ha s gfuehl das wird oeppis schoens,positiv,vorfreude,Vorfreud isch öppis Schöns. Uf was freusch di am meiste?,True,False
"ich freu mi uf d lüt, wo ich denn wieder gseh",ich freu mi uf d luet wo ich denn wieder gseh,positiv,vorfreude,Vorfreud isch öppis Schöns. Uf was freusch di am meiste?,True,False
"hoi, ich ha s gfuehl, mis handy isch extrem langsam worde isch okay so",hoi ich ha s gfuehl mis handy isch extrem langsam worde isch okay so,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
was isch dä unterschied zwüsche däne zwei variante? für s erscht mal guet,was isch dae unterschied zwuesche daene zwei variante fuer s erscht mal guet,neutral,frage_info,Gueti frog. Ich versuech s dir möglichst eifach z erläuterä.,True,False
"ey, ich ha s gfuehl, es louft immer gege mich so en scheiss",ey ich ha s gfuehl es louft immer gege mich so en scheiss,negativ,frust,"Ich verstand, dass dich das nervt. Was isch im Momänt am müehsamste für dich?",True,False
ich ha lang sorgä gha und jetzt isch s doch guet cho,ich ha lang sorgae gha und jetzt isch s doch guet cho,positiv,erleichterung,"Guet z ghöre, dass s sich jetzt leichter aafühlt. Was hät dir am meiste gholfe?",True,True
ich han no kei klare meinig dezue,ich han no kei klare meinig dezue,neutral,sonstiges,"Alles klar, merci für dini rückmeldung.",True,False
"hoi, ich weiss nöd, wie ich das programm söll installiere",hoi ich weiss noed wie ich das programm soell installiere,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
"mir händ so vil glacht, das het richtig guet ta",mir haend so vil glacht das het richtig guet ta,positiv,verbindung_freunde,"Schön, dass du so mensche um dich hesch. Solchi momänt tue mega guet.",True,False
bisch guet i d wuche startet?,bisch guet i d wuche startet,neutral,smalltalk,"Mir gohts guet, merci. Und dir so im alltag?",True,False
ich bi jede tag am limit im büro,ich bi jede tag am limit im buero,negativ,überforderung_job,Jobstress cha würklich belaste. Was belastet di im momänt am stärkschte?,True,False
"ich ha s gröbschte gmacht, aber es brucht no feinarbeit",ich ha s groebschte gmacht aber es brucht no feinarbeit,neutral,status_update,"Merci fürs update. Wenn sich öppis ändert, chasch eifach wieder schriebe.",True,False
"ich ha s gfuehl, mis imunsystem isch im keller",ich ha s gfuehl mis imunsystem isch im keller,negativ,gesundheit_sorge,Gsundheitssorgä nimmt mer sich zu herz. Was macht dir im momänt am meiste sorge?,True,True
"das isch alles andere als selbstverständlich, danke bis bald",das isch alles andere als selbstverstaendlich danke bis bald,positiv,dank,"Sehr gärn. Freut mi, wenn es dir öppis bringt.",True,False
"mini app spinnt scho wieder und ich weiss nöd, wieso gruessli",mini app spinnt scho wieder und ich weiss noed wieso gruessli,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
"hallo du, ich ha scho lang s gfuehl, öppis stimt nöd mit mir zum schreiä",hallo du ich ha scho lang s gfuehl oeppis stimt ned mit mir zum schreiae,negativ,gesundheit_sorge,Gsundheitssorgä nimmt mer sich zu herz. Was macht dir im momänt am meiste sorge?,True,False
"ich ha s gfuehl, es louft immer gege mich",ich ha s gfuehl es louft immer gege mich,negativ,frust,"Ich verstand, dass dich das nervt. Was isch im Momänt am müehsamste für dich?",True,True
"alli händ irgendwie ihre gruppe, nur ich nöd",alli haend irgendwie ihre gruppe nur ich ned,negativ,einsamkeit,"Sich einsam fühle isch nöd eifach. Schön, dass du drüber redsch. Wie fült sich das grad a für dich?",True,False
"hey, ich ha s gfuehl, ich bin nöd guet gnue gopfriedstutz",hey ich ha s gfuehl ich bi ned guet gnue gopfriedstutz,negativ,selbstzweifel,"Es isch okay, wenn mer sich mal unsicher fühlt. Worin hesch du grad am meiste zweifel?",True,False
"hallo du, ich bi dankbar für die stabilität, wo ich grad ha richtig schön",hallo du ich bi dankbar fuer die stabilitaet wo ich grad ha richtig schoen,positiv,zufriedenheit_alltag,"Schön, dass sich dis läbe im momänt stimmig aafühlt. Was wotsch gern so biibe lah?",True,False
"ich lueg viel series, wenn ich abends am abchille bi",ich lueg viel series wenn ich abends am abchille bi,neutral,hobby_talk,"Klingt spannend. Erzähl gern no meh über dini hobbys, wenn du lusch hesch.",True,True
"ey, ich chum nöd drus mit däm update",ey ich chum ned drus mit daem update,neutral,technik_support,"Okay, luegemer zäme druf. Was genau funktioniert im momänt nöd so, wie s sött?",True,False
"ich go gern jogge, wenn ich chli kopf lüfte möcht",ich go gern jogge wenn ich chli kopf luefte moecht,neutral,hobby_talk,"Klingt spannend. Erzähl gern no meh über dini hobbys, wenn du lusch hesch.",True,True
ich bi im moment voll im kochfilm,ich bi im moment voll im kochfilm,neutral,hobby_talk,"Klingt spannend. Erzähl gern no meh über dini hobbys, wenn du lusch hesch.",True,False
