text,label,intent,is_seed,text_clean
ich bi komplett dra vorbeigfahre – chasch mir helfe?,negativ,hilfe_bitten,True,ich bi komplett dra vorbeigfahre chasch mir helfe
"ich ha dä schritt nöd verstanden, chasch?",negativ,hilfe_bitten,True,ich ha dae schritt ned verstanden chasch
"ich probiers, aber es klappt nöd, chasch du?",negativ,hilfe_bitten,True,ich probiers aber es klappt noed chasch du
"ich bruch en hinwiis, wie das funktioniert",negativ,hilfe_bitten,True,ich bruch en hinwiis wie das funktioniert
"chasch du mir s vormache, wie mer das richtig macht?",negativ,hilfe_bitten,True,chasch du mir s vormache wie mer das richtig macht
"ich kämpf grad, chasch es mir bitte erläutere?",negativ,hilfe_bitten,True,ich kaempf grad chasch es mir bitte erlaeutere
chasch mir s eifacher erkläre?,negativ,hilfe_bitten,True,chasch mir s eifacher erklaere
ich bruch en zweite blick druf,negativ,hilfe_bitten,True,ich bruch en zweite blick druf
"ich kapier s nöd, chasch du mir helfe?",negativ,hilfe_bitten,True,ich kapier s noed chasch du mir helfe
alles isch grad mega hektisch,negativ,stress_alltag,True,alles isch grad mega hektisch
ich renn de ganze tag ume,negativ,stress_alltag,True,ich renn de ganze tag ume
ich ha kei minute für mich selber,negativ,stress_alltag,True,ich ha kei minute fuer mich selber
es tuet sich immer meh ufstaple,negativ,stress_alltag,True,es tuet sich immer meh ufstaple
"ich weiss nöd, wie ich alles in de tag packe söll",negativ,stress_alltag,True,ich weiss noed wie ich alles in de tag packe soell
"ich ha s gfühl, ich bin nume am funktioniere",negativ,stress_alltag,True,ich ha s gfuehl ich bi nume am funktioniere
mini agenda isch komplett überfüllt,negativ,stress_alltag,True,mini agenda isch komplett ueberfuellt
ich chum kaum no zum durchatme,negativ,stress_alltag,True,ich chum kaum no zum durchatme
jedes mol chunnt öppis neus debi,negativ,stress_alltag,True,jedes mol chunnt oeppis neus debi
ich bruch dringend ruhe,negativ,stress_alltag,True,ich bruch dringend ruhe
ich bi scho am morn gestresst,negativ,stress_alltag,True,ich bi scho am morn gestresst
ich bin nur am rölle de ganz tag,negativ,stress_alltag,True,ich bi nur am roelle de ganz tag
es schlägt mir langsam uf s gemüt,negativ,stress_alltag,True,es schlaegt mir langsam uf s gemuet
ich ha kei puffer meh,negativ,stress_alltag,True,ich ha kei puffer meh
"ich ha s gfühl, ich ha kei kontrolle meh",negativ,stress_alltag,True,ich ha s gfuehl ich ha kei kontrolle meh
ich bi immer e schritt z spoot,negativ,stress_alltag,True,ich bi immer e schritt z spoot
"ich ha s gfühl, ich lebe nume no im stressmodus",negativ,stress_alltag,True,ich ha s gfuehl ich lebe nume no im stressmodus
"ich bi nüm fähig, richtig abzuschalte",negativ,stress_alltag,True,ich bi nuem faehig richtig abzuschalte
ich würd gern mal e chli ruhe ha,negativ,stress_alltag,True,ich wuerd gern mal e chli ruhe ha
ich ha grad vil z vil uf em tisch,negativ,stress_alltag,True,ich ha grad vil z vil uf em tisch
ich han kei kopf frei für öppis anders,negativ,stress_alltag,True,ich han kei kopf frei fuer oeppis anders
ich bin komplett überlastet,negativ,stress_alltag,True,ich bi komplett ueberlastet
"ich weiss nöd, wie ich das tempo lang cha halte",negativ,stress_alltag,True,ich weiss noed wie ich das tempo lang chan halte
ich fühl mi nur no erschöpft,negativ,stress_alltag,True,ich fuehl mi nur no erschoepft
ich bruch dringend entschleunigung,negativ,stress_alltag,True,ich bruch dringend entschleunigung
ich bi am limit vo minere kapazität,negativ,stress_alltag,True,ich bi am limit vo minere kapazitaet
ich würd gern mol e tag ohni to-do-lischt ha,negativ,stress_alltag,True,ich wuerd gern mol e tag ohni to do lischt ha
ich kann mich grad uf nüt konzentriere,negativ,stress_alltag,True,ich kann mich grad uf nuet konzentriere
ich ha kei erholig zwüschet dur,negativ,stress_alltag,True,ich ha kei erholig zwueschet dur
ich kämpfe täglich mit dem stresslevel,negativ,stress_alltag,True,ich kaempfe taeglich mit dem stresslevel
mir händ scho wieder en riesen streit gha,negativ,konflikt,True,mir haend scho wieder en riesen streit gha
ich ha kei nerv meh für das ständige diskutiere,negativ,konflikt,True,ich ha kei nerv meh fuer das staendige diskutiere
jedes gspröch eskaliert instant,negativ,konflikt,True,jedes gsproech eskaliert instant
mir verstöhnd üs gar nüm,negativ,konflikt,True,mir verstoehnd ues gar nuem
alles driftet immer i d falschi richtig,negativ,konflikt,True,alles driftet immer i d falschi richtig
"ich ha s gfühl, mir reded komplett ane vorbei",negativ,konflikt,True,ich ha s gfuehl mir reded komplett ane vorbei
"ich weiss nöd, wie mer das löse sött",negativ,konflikt,True,ich weiss noed wie mer das loese soett
ich cha nüm immer dr vermittler spiele,negativ,konflikt,True,ich chan nuem immer dr vermittler spiele
mini geduld isch absolut am limit,negativ,konflikt,True,mini geduld isch absolut am limit
mer chönd nöd mol sachlich über s thema rede,negativ,konflikt,True,mer choend ned mol sachlich ueber s thema rede
es isch wie en endlosi schleife vo missverständnis,negativ,konflikt,True,es isch wie en endlosi schleife vo missverstaendnis
ich fühl mi nöd ernst gno i däm gspröch,negativ,konflikt,True,ich fuehl mi ned ernst gno i daem gsproech
ich bi müed vo dem ständige hin und her,negativ,konflikt,True,ich bi mueed vo dem staendige hin und her
"jedes mol chunnt öppis neus, wo alles schwieriger macht",negativ,konflikt,True,jedes mol chunnt oeppis neus wo alles schwieriger macht
"ich ha s gfühl, ich mues immer nachgeh",negativ,konflikt,True,ich ha s gfuehl ich mues immer nachgeh
mer finded kei gemeinsame basis meh,negativ,konflikt,True,mer finded kei gemeinsame basis meh
"ich weiss nöd, öb mer überhaupt no ufem gliiche level sind",negativ,konflikt,True,ich weiss noed oeb mer ueberhaupt no ufem gliiche level sind
min standpunkt wird ständig verdreht,negativ,konflikt,True,min standpunkt wird staendig verdreht
ich fühl mi nöd respektiert,negativ,konflikt,True,ich fuehl mi ned respektiert
"ich weiss nöd, was ich no söll probiere",negativ,konflikt,True,ich weiss noed was ich no soell probiere
d situation isch mega emotional ufglade,negativ,konflikt,True,d situation isch mega emotional ufglade
ich bi erschöpft vo all den diskussione,negativ,konflikt,True,ich bi erschoepft vo all den diskussione
es stimmt eifach nüt meh zwüschet üs,negativ,konflikt,True,es stimmt eifach nuet meh zwueschet ues
"ich ha angst, dass mer das nüm chönd flicke",negativ,konflikt,True,ich ha angst dass mer das nuem choend flicke
mer reagiered beidi übertriebe schnell,negativ,konflikt,True,mer reagiered beidi uebertriebe schnell
"ich würd gärn sachlich bliibe, aber s gelingt nöd",negativ,konflikt,True,ich wuerd gaern sachlich bliibe aber s gelingt ned
"ich weiss nöd, wohi das führt",negativ,konflikt,True,ich weiss noed wohi das fuehrt
niemer loset richtig zue,negativ,konflikt,True,niemer loset richtig zue
jedes mal endet s im frust,negativ,konflikt,True,jedes mal endet s im frust
"ich weiss grad nöd, wie mer da wieder usechöme",negativ,konflikt,True,ich weiss grad noed wie mer da wieder usechoeme
"ich ha s gfühl, ich bi nöd guet gnue",negativ,selbstzweifel,True,ich ha s gfuehl ich bi ned guet gnue
ich zweifle grad extrem a mir selber,negativ,selbstzweifel,True,ich zweifle grad extrem a mir selber
"ich weiss nöd, öb ich dä challenge würkli packe cha",negativ,selbstzweifel,True,ich weiss noed oeb ich dae challenge wuerkli packe chan
ich fühl mi häufig ungenüeg,negativ,selbstzweifel,True,ich fuehl mi haeufig ungenueeg
"ich ha angst, alles falsch z mache",negativ,selbstzweifel,True,ich ha angst alles falsch z mache
ich vergleiche mi immer und schneid schlecht ab,negativ,selbstzweifel,True,ich vergleiche mi immer und schneid schlecht ab
ich bremse mi selber ständig uus,negativ,selbstzweifel,True,ich bremse mi selber staendig uus
"ich weiss nöd, öb ich würkli öppis wert bi",negativ,selbstzweifel,True,ich weiss noed oeb ich wuerkli oeppis wert bi
ich fühl mi wie en riesigs fragezeiche,negativ,selbstzweifel,True,ich fuehl mi wie en riesigs fragezeiche
"ich bi nöd stolz uf das, was ich mach",negativ,selbstzweifel,True,ich bi ned stolz uf das was ich mach
"ich ha s gefühl, ich enttäusch alli",negativ,selbstzweifel,True,ich ha s gefuehl ich enttaeusch alli
"ich ha angst, dass ich nüm vorwärts chume",negativ,selbstzweifel,True,ich ha angst dass ich nuem vorwaerts chume
ich glaub nöd an mini eigete fähigkeit,negativ,selbstzweifel,True,ich glaub ned an mini eigete faehigkeit
ich fühl mi wie en versager,negativ,selbstzweifel,True,ich fuehl mi wie en versager
"ich weiss nöd, wieso ich so a mir zweifle",negativ,selbstzweifel,True,ich weiss noed wieso ich so a mir zweifle
jedes chliini problem bringt mi zum grüble,negativ,selbstzweifel,True,jedes chliini problem bringt mi zum grueble
ich würd gärn meh selbstvertroue ha,negativ,selbstzweifel,True,ich wuerd gaern meh selbstvertroue ha
"ich ha s gfühl, ich mach alles nur halb guet",negativ,selbstzweifel,True,ich ha s gfuehl ich mach alles nur halb guet
"ich weiss nöd, öb ich gut genug bi für dini erwartige",negativ,selbstzweifel,True,ich weiss noed oeb ich gut genug bi fuer dini erwartige
ich fühl mi oft fehl am platz,negativ,selbstzweifel,True,ich fuehl mi oft fehl am platz
"ich weiss nöd, wieso ich mir selber so im weg stah",negativ,selbstzweifel,True,ich weiss noed wieso ich mir selber so im weg stah
ich mach mir vil z viel druck,negativ,selbstzweifel,True,ich mach mir vil z viel druck
ich fühl mi mega verletzlich,negativ,selbstzweifel,True,ich fuehl mi mega verletzlich
"ich weiss nöd, öb ich s verdient ha",negativ,selbstzweifel,True,ich weiss noed oeb ich s verdient ha
ich ha angst vor fehler und drum probier ich nüüt uus,negativ,selbstzweifel,True,ich ha angst vor fehler und drum probier ich nueuet uus
ich fühl mi extrem unsicher im momänt,negativ,selbstzweifel,True,ich fuehl mi extrem unsicher im momaent
ich würd gern besser zu mir selber sii,negativ,selbstzweifel,True,ich wuerd gern besser zu mir selber sii
"ich ha s gfühl, ich bi nöd gnue für ander lüt",negativ,selbstzweifel,True,ich ha s gfuehl ich bi ned gnue fuer ander luet
ich kämpf viel mit minere innere kritikerstimme,negativ,selbstzweifel,True,ich kaempf viel mit minere innere kritikerstimme
"ich weiss grad nöd, wie ich us däm loch uschume",negativ,selbstzweifel,True,ich weiss grad noed wie ich us daem loch uschume
"im job isch grad extrem viel los, ich cha nüm",negativ,überforderung_job,True,im job isch grad extrem viel los ich chan nuem
"ich ha s gfühl, ich renn de ganze tag hinterher",negativ,überforderung_job,True,ich ha s gfuehl ich renn de ganze tag hinterher
"z vil ufträgi uf einisch, ich pack s nöd",negativ,überforderung_job,True,z vil uftraegi uf einisch ich pack s ned
"ich weiss nöd, wie ich das bewältige söll",negativ,überforderung_job,True,ich weiss noed wie ich das bewaeltige soell
mini arbeit wächst mir über d chopf,negativ,überforderung_job,True,mini arbeit waechst mir ueber d chopf
ich ha kei ressourcen meh für das,negativ,überforderung_job,True,ich ha kei ressourcen meh fuer das
ich bruch imfall dringend en break,negativ,überforderung_job,True,ich bruch im fall dringend en break
"ich ha s gfühl, ich brenn us",negativ,überforderung_job,True,ich ha s gfuehl ich brenn us
es chunnt immer meh debi und nüt wird weniger,negativ,überforderung_job,True,es chunnt immer meh debi und nuet wird weniger
ich stoss grad a mini grenzen,negativ,überforderung_job,True,ich stoss grad a mini grenzen
ich cha nüm klar denke vor lauter stress,negativ,überforderung_job,True,ich chan nuem klar denke vor lauter stress
mini to-do-lischt macht mi fertig,negativ,überforderung_job,True,mini to do lischt macht mi fertig
"ich würd gärn konzentriert schaffe, aber s gaht nöd",negativ,überforderung_job,True,ich wuerd gaern konzentriert schaffe aber s gaht ned
"ich ha angst, dass ich s nöd pack",negativ,überforderung_job,True,ich ha angst dass ich s ned pack
ich würd am liebschte alles kurz stoppe,negativ,überforderung_job,True,ich wuerd am liebschte alles kurz stoppe
ich bin extrem unter druck,negativ,überforderung_job,True,ich bi extrem unter druck
mini arbeit überforderet mi grad brutal,negativ,überforderung_job,True,mini arbeit ueberforderet mi grad brutal
"ich bruch unterstützig, aber es chunnt kei",negativ,überforderung_job,True,ich bruch unterstuetzig aber es chunnt kei
"ich ha immer eng termini, das stresst brutal",negativ,überforderung_job,True,ich ha immer eng termini das stresst brutal
ich cha nüm abschalte nach em schaffe,negativ,überforderung_job,True,ich chan nuem abschalte nach em schaffe
ich fühl mi überrollt vo de ufgabe,negativ,überforderung_job,True,ich fuehl mi ueberrollt vo de ufgabe
"ich ha s gfühl, alli erwarted z vil vo mir",negativ,überforderung_job,True,ich ha s gfuehl alli erwarted z vil vo mir
mini motivation isch am sinke,negativ,überforderung_job,True,mini motivation isch am sinke
"ich ha angst, dass ich öppis versaue",negativ,überforderung_job,True,ich ha angst dass ich oeppis versaue
"ich würd gärn usgleiche finde, aber schaff s nöd",negativ,überforderung_job,True,ich wuerd gaern usgleiche finde aber schaff s ned
"ich glaub, ich bin am absolute limit",negativ,überforderung_job,True,ich glaub ich bi am absolute limit
ich ha kei kontrolle meh über mini workload,negativ,überforderung_job,True,ich ha kei kontrolle meh ueber mini workload
ich chumm nüm zum pause mache,negativ,überforderung_job,True,ich chumm nuem zum pause mache
ich bi erschöpft vo dem jobstress,negativ,überforderung_job,True,ich bi erschoepft vo dem jobstress
"ich weiss nöd, wie lang ich das no so chume",negativ,überforderung_job,True,ich weiss noed wie lang ich das no so chume
ich mach mer grad mega sorgä um mini gesundheit,negativ,gesundheit_sorge,True,ich mach mer grad mega sorgae um mini gesundheit
"ich weiss nöd, wieso ich mich ständig komisch fühl",negativ,gesundheit_sorge,True,ich weiss noed wieso ich mich staendig komisch fuehl
"ich ha s gfühl, öppis stimmt nöd mit mir",negativ,gesundheit_sorge,True,ich ha s gfuehl oeppis stimmt ned mit mir
"ich ha symptome, wo mi verunsichere",negativ,gesundheit_sorge,True,ich ha symptome wo mi verunsichere
"ich ha angst, dass es öppis ernsthafts isch",negativ,gesundheit_sorge,True,ich ha angst dass es oeppis ernsthafts isch
"ich bin unsicher, öb ich zum arzt söll",negativ,gesundheit_sorge,True,ich bi unsicher oeb ich zum arzt soell
"ich bi ständig müed, das macht mi fertig",negativ,gesundheit_sorge,True,ich bi staendig mueed das macht mi fertig
ich fühl mi körperlich instabil,negativ,gesundheit_sorge,True,ich fuehl mi koerperlich instabil
ich ha immer wieder unruh im körper,negativ,gesundheit_sorge,True,ich ha immer wieder unruh im koerper
ich mach mi verrückt mit gedanke,negativ,gesundheit_sorge,True,ich mach mi verrueckt mit gedanke
"ich ha s gfühl, mis imunsystem spinnt",negativ,gesundheit_sorge,True,ich ha s gfuehl mis imunsystem spinnt
"ich weiss nöd, wo d ursach isch",negativ,gesundheit_sorge,True,ich weiss noed wo d ursach isch
"ich ha angst, dass es schlimmer wird",negativ,gesundheit_sorge,True,ich ha angst dass es schlimmer wird
"ich weiss nöd, wie ich das einschätze söll",negativ,gesundheit_sorge,True,ich weiss noed wie ich das einschaetze soell
ich fühl mi unwohl und kenn de grund nöd,negativ,gesundheit_sorge,True,ich fuehl mi unwohl und kenn de grund ned
ich schlaf schlecht und das stresst mi,negativ,gesundheit_sorge,True,ich schlaf schlecht und das stresst mi
"ich bi dauernd erschöpft, das macht mir angst",negativ,gesundheit_sorge,True,ich bi dauernd erschoepft das macht mir angst
"ich ha symptome, wo ich nöd einordne cha",negativ,gesundheit_sorge,True,ich ha symptome wo ich ned einordne chan
ich fühl mi nöd wie ich selber,negativ,gesundheit_sorge,True,ich fuehl mi ned wie ich selber
"ich ha angst vor dem, was chönnt sii",negativ,gesundheit_sorge,True,ich ha angst vor dem was choennt sii
ich ha d ganze zit druck im chopf,negativ,gesundheit_sorge,True,ich ha d ganze zit druck im chopf
"ich ha s gefühl, mis körpergefühl stimmt nöd",negativ,gesundheit_sorge,True,ich ha s gefuehl mis koerpergefuehl stimmt ned
ich mach mer ständig gedanke über jede kleinigkeite,negativ,gesundheit_sorge,True,ich mach mer staendig gedanke ueber jede kleinigkeite
"ich ha gärn ruhe, aber d angst bleibt",negativ,gesundheit_sorge,True,ich ha gaern ruhe aber d angst bleibt
"ich ha schiss, dass ich öppis überseh",negativ,gesundheit_sorge,True,ich ha schiss dass ich oeppis ueberseh
"ich weiss nöd, wie lang das no so goht",negativ,gesundheit_sorge,True,ich weiss noed wie lang das no so goht
ich fühl mi körperlich mega angeschlage,negativ,gesundheit_sorge,True,ich fuehl mi koerperlich mega angeschlage
"ich ha angst, dass es nöd besser wird",negativ,gesundheit_sorge,True,ich ha angst dass es ned besser wird
"ich spür, dass öppis im ungleichgwicht isch",negativ,gesundheit_sorge,True,ich spuer dass oeppis im ungleichgwicht isch
"ich würd gern wüsse, was genau los isch",negativ,gesundheit_sorge,True,ich wuerd gern wuesse was genau los isch
ich bi grad richtig enttäuscht vo dere person,negativ,enttäuschung_beziehung,True,ich bi grad richtig enttaeuscht vo dere person
"ich ha s gfühl, ich bi nöd priorität für sie",negativ,enttäuschung_beziehung,True,ich ha s gfuehl ich bi ned prioritaet fuer sie
"sie händ wieder nüd ernst gnoh, obwohl mer abgmacht händ",negativ,enttäuschung_beziehung,True,sie haend wieder nued ernst gnoh obwohl mer abgmacht haend
mini erwartige sind gar nöd erfüllt worde,negativ,enttäuschung_beziehung,True,mini erwartige sind gar ned erfuellt worde
ich ha vil investiert und wenig zrugg übercho,negativ,enttäuschung_beziehung,True,ich ha vil investiert und wenig zrugg uebercho
ich fühl mi i dere beziehig nöd wahrgnuu,negativ,enttäuschung_beziehung,True,ich fuehl mi i dere beziehig ned wahrgnuu
"ich weiss nöd, öb mer no am gliiche ort sind",negativ,enttäuschung_beziehung,True,ich weiss noed oeb mer no am gliiche ort sind
ich ha s vertroue chli verlore,negativ,enttäuschung_beziehung,True,ich ha s vertroue chli verlore
ich bi traurig über d entwicklung vo dem ganze,negativ,enttäuschung_beziehung,True,ich bi traurig ueber d entwicklung vo dem ganze
"ich ha s gfühl, ich bedeut nüm so vil wie früener",negativ,enttäuschung_beziehung,True,ich ha s gfuehl ich bedeut nuem so vil wie frueener
"ich würd mir meh achtig wünsche, aber es chunt nüd",negativ,enttäuschung_beziehung,True,ich wuerd mir meh achtig wuensche aber es chunt nued
"ich ha s gfühl, mini bemüehige werde ignoriert",negativ,enttäuschung_beziehung,True,ich ha s gfuehl mini bemueehige werde ignoriert
"ich weiss nöd, wieso alles so distanziert worde isch",negativ,enttäuschung_beziehung,True,ich weiss noed wieso alles so distanziert worde isch
"ich bi verletzt, wie wenig rücksicht gnue wird",negativ,enttäuschung_beziehung,True,ich bi verletzt wie wenig ruecksicht gnue wird
"ich ha immer wieder hoffnig, aber sie zerschlägt sich",negativ,enttäuschung_beziehung,True,ich ha immer wieder hoffnig aber sie zerschlaegt sich
"ich würd gern es gspröch führe, aber es chunt nie zäme",negativ,enttäuschung_beziehung,True,ich wuerd gern es gsproech fuehre aber es chunt nie zaeme
ich fühl mi allei i dere verbindig,negativ,enttäuschung_beziehung,True,ich fuehl mi allei i dere verbindig
"ich weiss nöd, wieso s plötzlich so anders isch",negativ,enttäuschung_beziehung,True,ich weiss noed wieso s ploetzlich so anders isch
"ich bi enttäuscht, dass kei initiative vo dere site chunnt",negativ,enttäuschung_beziehung,True,ich bi enttaeuscht dass kei initiative vo dere site chunnt
"ich ha s gfühl, mini gefühle werde nöd ernst gno",negativ,enttäuschung_beziehung,True,ich ha s gfuehl mini gefuehle werde ned ernst gno
"es het nüd meh vo dem, was s mol gsi isch",negativ,enttäuschung_beziehung,True,es het nued meh vo dem was s mol gsi isch
"ich ha angst, dass s nüm besser wird",negativ,enttäuschung_beziehung,True,ich ha angst dass s nuem besser wird
"ich ha s gfühl, ich kämpf allai für die beziehig",negativ,enttäuschung_beziehung,True,ich ha s gfuehl ich kaempf allai fuer die beziehig
